Id,FirstName,LastName,DateOfBirth,Nationality,Role,YearsOfExperience,PhotoUrl,Biography,PreferredFormation,CoachingStyle,TeamId
23,Eder,Sarabia Armesto,1982-05-29,Spanish,Head Coach,10,,Eder Sarabia is a Spanish football manager who has worked as an assistant coach with several top clubs including Barcelona under Quique Setién. He has developed a reputation for his tactical knowledge and modern approach to football. Known for his detailed analysis and innovative training methods.,4-3-3,"Possession-based football with high pressing and positional play. Emphasizes technical development, tactical intelligence, and modern football concepts. Focuses on player education and tactical flexibility.",19
24,Fran,Escribá Segura,1965-05-09,Spanish,Head Coach,20,,"Fran Escribá is a Spanish football manager and former player. He has managed several Spanish clubs including Getafe, Villarreal, and Granada. Known for his tactical versatility and ability to adapt his teams to different situations and opponents.",4-2-3-1,Tactical flexibility with emphasis on defensive organization. Adapts formation and style based on opponent analysis and available players. Known for his pragmatic approach and ability to achieve results with limited resources.,3
25,Antonio,Hidalgo Morilla,1979-09-18,Spanish,Head Coach,12,,Antonio Hidalgo is a Spanish football manager who has worked primarily in Spanish lower divisions before joining Huesca. Known for his work with young players and ability to develop teams through tactical discipline and hard work.,4-4-2,"Organized team play with emphasis on collective effort and tactical discipline. Focuses on youth development, pressing, and creating a strong team spirit. Known for maximizing player potential through detailed preparation.",10
26,Julián,Calero García,1978-01-15,Spanish,Head Coach,14,,Julián Calero is a Spanish football manager who has worked extensively in Spanish football. He has managed several teams in different divisions and is known for his tactical knowledge and ability to adapt to different playing styles and squad limitations.,4-2-3-1,"Balanced approach combining defensive stability with attacking creativity. Emphasizes tactical preparation, physical conditioning, and team unity. Focuses on getting the best from available players through detailed planning.",8
46,Imanol,Alguacil Barrenetxea,1960-01-01,Spanish,Head Coach,15,,Imanol Alguacil Barrenetxea was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
27,Sergio,Pellicer Rodríguez,1978-12-03,Spanish,Head Coach,13,,"Sergio Pellicer is a Spanish football manager who rose through the ranks at Málaga CF, starting in youth football and working his way up to the first team. Known for his deep understanding of the club's philosophy and his ability to develop young players.",4-3-3,Possession-based football with emphasis on youth development and technical play. Focuses on maintaining Málaga's traditional playing style while adapting to modern tactical concepts. Known for promoting academy players.,28
28,Imanol,Idiakez Barkaiztegi,1973-06-08,Spanish,Head Coach,15,,"Imanol Idiakez is a Spanish football manager and former midfielder who had a playing career in Spanish football. He has managed several Spanish clubs and is known for his tactical knowledge and ability to organize teams effectively, particularly in defensive phases.",5-3-2,"Organized defensive play with quick counter-attacking. Emphasizes tactical discipline, physical preparation, and team cohesion. Known for creating well-structured teams that are difficult to break down.",26
29,Miguel,Ángel Ramírez González,1976-04-11,Spanish,Head Coach,11,,Miguel Ángel Ramírez is a Spanish football manager who has worked in various Spanish clubs. Known for his tactical versatility and ability to adapt his teams to different competitive levels. Focuses on team organization and maximizing available resources.,4-4-2,Flexible tactical approach with emphasis on team organization and work ethic. Adapts formation and style based on squad capabilities and opposition. Known for his motivational skills and ability to create fighting spirit.,29
30,Pablo,Javier Machín Díez,1960-01-01,Spanish,Head Coach,15,,Pablo Javier Machín Díez was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
31,Ronald,Koeman,1963-03-21,Dutch,Head Coach,20,,"Ronald Koeman is a Dutch professional football manager and former player. A legendary defender who won the European Cup with PSV and Barcelona as a player, he managed Barcelona from 2020-2021. Known for his attacking philosophy and development of young players.",4-3-3,"Possession-based attacking football with emphasis on youth development. Focuses on technical play, high pressing, and positional football.",
32,Diego,Martínez Penas,1960-01-01,Spanish,Head Coach,15,,Diego Martínez Penas was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
33,Eduardo,Germán Coudet,1960-01-01,Spanish,Head Coach,15,,Eduardo Germán Coudet was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
34,Manuel,Luis Pellegrini Ripamonti,1953-09-16,Chilean,Head Coach,35,,"Manuel Pellegrini has managed top clubs including Real Madrid, Manchester City, and Villarreal. Known as ""The Engineer"" due to his background in civil engineering. At Real Betis, he has implemented an attractive, possession-based style.",4-2-3-1,Possession-based attacking football with emphasis on technical play and player development.,
35,Jagoba,Arrasate Elustondo,1960-01-01,Spanish,Head Coach,15,,Jagoba Arrasate Elustondo was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
36,Zinédine,Zidane,1972-06-23,French,Head Coach,8,,"Zinédine Zidane is a French professional football manager and former player. One of the greatest players of all time, he managed Real Madrid from 2016-2018 and 2019-2021, winning three consecutive Champions League titles. Known for his calm demeanor and tactical flexibility.",4-3-3,Flexible tactical approach with emphasis on attacking football and player rotation. Master of managing superstars and adapting tactics to exploit opponents weaknesses.,
37,Francisco,José López Fernández,1960-01-01,Spanish,Head Coach,15,,Francisco José López Fernández was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
38,Unai,Emery Etxegoien,1971-11-03,Spanish,Head Coach,18,,"Unai Emery is a Spanish football manager who won three consecutive Europa League titles with Sevilla (2014-2016). He managed Paris Saint-Germain, Arsenal, and Villarreal. Known for his tactical preparation and cup competition success.",4-2-3-1,Tactical flexibility with emphasis on detailed preparation and set-piece proficiency. Adapts formation based on opponent analysis.,
39,Óscar,García Junyent,1960-01-01,Spanish,Head Coach,15,,Óscar García Junyent was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
40,Miguel,Ángel Sánchez Muñoz,1960-01-01,Spanish,Head Coach,15,,Miguel Ángel Sánchez Muñoz was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
41,Julen,Lopetegui Argote,1966-08-28,Spanish,Head Coach,15,,"Julen Lopetegui managed the Spanish national team and later Sevilla FC, winning the Europa League in 2020. Previously managed Real Madrid briefly. Known for his possession-based tactical approach.",4-3-3,Possession-based football with high pressing and positional play. Emphasizes technical development and tactical intelligence.,
42,José,Bordalás Jiménez,1964-03-05,Spanish,Head Coach,20,,"José Bordalás is known for his intense, physical style of play. He has managed Getafe, Valencia, and other Spanish clubs. Recognized for building solid, well-organized teams that are difficult to beat.",5-4-1,"Physical, aggressive pressing game with strong defensive organization. Emphasizes intensity and fighting spirit.",
43,Diego,Pablo Simeone,1970-04-28,Argentine,Head Coach,14,,"Diego Pablo Simeone has been the manager of Atlético Madrid since 2011. Under his leadership, Atlético has won La Liga twice and reached two Champions League finals. Known for his passionate touchline demeanor and defensive tactical approach.",5-3-2,"Defensive solidarity and counter-attacking football. Emphasizes physical intensity, team unity, and mental strength.",
44,Javier,Gracia Carlos,1960-01-01,Spanish,Head Coach,15,,Javier Gracia Carlos was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
47,Sergio,González Soriano,1960-01-01,Spanish,Head Coach,15,,Sergio González Soriano was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
48,Álvaro,Cervera Díaz,1960-01-01,Spanish,Head Coach,15,,Álvaro Cervera Díaz was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
49,Marcelino,García Toral,1965-08-14,Spanish,Head Coach,22,,"Marcelino García Toral has managed several Spanish clubs including Valencia, Athletic Bilbao, and Villarreal. Won the Copa del Rey with Valencia in 2019. Known for his tactical acumen and high-intensity playing style.",4-4-2,High-intensity pressing with quick attacking transitions. Emphasizes tactical discipline and physical preparation.,
50,Abelardo,Fernández Antuña,1960-01-01,Spanish,Head Coach,15,,Abelardo Fernández Antuña was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
51,Francisco,Escriba Segura,1960-01-01,Spanish,Head Coach,15,,Francisco Escriba Segura was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
52,Enrique,Setién Solar,1960-01-01,Spanish,Head Coach,15,,Enrique Setién Solar was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
53,José,Luis Mendilibar Etxebarria,1960-01-01,Spanish,Head Coach,15,,José Luis Mendilibar Etxebarria was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
54,Javier,Aguirre Onaindía,1960-01-01,Spanish,Head Coach,15,,Javier Aguirre Onaindía was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
55,Ernesto,Valverde Tejedor,1964-02-09,Spanish,Head Coach,25,,"Ernesto Valverde is a Spanish football manager and former player. He managed Barcelona from 2017-2020, winning two La Liga titles. Previously successful with Athletic Bilbao. Known for his tactical discipline and defensive organization.",4-2-3-1,Possession-based football with strong defensive organization. Emphasizes tactical discipline and players technical development.,
56,Javier,Calleja Revilla,1960-01-01,Spanish,Head Coach,15,,Javier Calleja Revilla was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
57,Vicente,Moreno Peris,1960-01-01,Spanish,Head Coach,15,,Vicente Moreno Peris was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
58,Albert,Celades López,1960-01-01,Spanish,Head Coach,15,,Albert Celades López was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
59,Juan,Ramón López Muñiz,1960-01-01,Spanish,Head Coach,15,,Juan Ramón López Muñiz was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
60,Gaizka,Garitano Aguirre,1960-01-01,Spanish,Head Coach,15,,Gaizka Garitano Aguirre was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
61,Francisco,Joaquín Pérez Rufete,1960-01-01,Spanish,Head Coach,15,,Francisco Joaquín Pérez Rufete was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
62,Joan,Francesc Ferrer Sicilia,1960-01-01,Spanish,Head Coach,15,,Joan Francesc Ferrer Sicilia was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
63,Asier,Garitano Aguirrezábal,1960-01-01,Spanish,Head Coach,15,,Asier Garitano Aguirrezábal was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
64,Mauricio,Pellegrino,1960-01-01,Spanish,Head Coach,15,,Mauricio Pellegrino was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
65,José,Miguel Azevedo Cardoso,1960-01-01,Spanish,Head Coach,15,,José Miguel Azevedo Cardoso was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
66,Eusebio,Sacristán Mena,1960-01-01,Spanish,Head Coach,15,,Eusebio Sacristán Mena was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
67,Leonardo,Neoren Franco,1960-01-01,Spanish,Head Coach,15,,Leonardo Neoren Franco was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
68,José,"Ignacio Fernández García, José Bordalás Jiménez",1960-01-01,Spanish,Head Coach,15,,"José Ignacio Fernández García, José Bordalás Jiménez was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.",4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
69,Manuel,Eduardo Berizzo,1960-01-01,Spanish,Head Coach,15,,Manuel Eduardo Berizzo was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
70,Santiago,Hernán Solari Poggio,1960-01-01,Spanish,Head Coach,15,,Santiago Hernán Solari Poggio was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
71,Clarence,Seedorf,1960-01-01,Spanish,Head Coach,15,,Clarence Seedorf was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
72,José,Ángel Ziganda Lacunza,1960-01-01,Spanish,Head Coach,15,,José Ángel Ziganda Lacunza was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
73,Francisco,Jémez Martín,1960-01-01,Spanish,Head Coach,15,,Francisco Jémez Martín was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
74,Francisco,Martín Ayestarán Barandiarán,1960-01-01,Spanish,Head Coach,15,,Francisco Martín Ayestarán Barandiarán was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
75,Eder,"Sarabia Armesto, Enrique Setién Solar",1960-01-01,Spanish,Head Coach,15,,"Eder Sarabia Armesto, Enrique Setién Solar was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.",4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
76,Enrique,Sánchez Flores,1960-01-01,Spanish,Head Coach,15,,Enrique Sánchez Flores was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
77,Juan,Carlos Unzué Labiano,1960-01-01,Spanish,Head Coach,15,,Juan Carlos Unzué Labiano was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
78,Vincenzo,Montella,1960-01-01,Spanish,Head Coach,15,,Vincenzo Montella was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
79,Juan,"Rubén Uría Corral, Marcelino García Toral",1960-01-01,Spanish,Head Coach,15,,"Juan Rubén Uría Corral, Marcelino García Toral was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.",4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
80,José,Miguel González Martín del Campo,1960-01-01,Spanish,Head Coach,15,,José Miguel González Martín del Campo was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
81,Luis,Francisco Zubeldía,1960-01-01,Spanish,Head Coach,15,,Luis Francisco Zubeldía was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
82,Cristóbal,Parralo Aguilera,1960-01-01,Spanish,Head Coach,15,,Cristóbal Parralo Aguilera was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
83,Jorge,Luis Sampaoli Moya,1960-01-01,Spanish,Head Coach,15,,Jorge Luis Sampaoli Moya was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
84,Luis,Enrique Martínez García,1970-05-08,Spanish,Head Coach,12,,"Luis Enrique is a Spanish professional football manager and former player. He managed Barcelona from 2014-2017, winning the treble in 2015. Currently manages the Spanish national team. Known for his high-intensity style and tactical innovation.",4-3-3,"High-intensity pressing with quick transitions and attacking football. Emphasizes physical preparation, tactical versatility, and player rotation.",
85,Joaquín,de Jesús Caparrós Camino,1960-01-01,Spanish,Head Coach,15,,Joaquín de Jesús Caparrós Camino was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
86,Gustavo,Augusto Poyet Domínguez,1960-01-01,Spanish,Head Coach,15,,Gustavo Augusto Poyet Domínguez was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
87,Víctor,Sánchez del Amo,1960-01-01,Spanish,Head Coach,15,,Víctor Sánchez del Amo was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
88,Petar,Vasiljević,1960-01-01,Spanish,Head Coach,15,,Petar Vasiljević was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
89,Salvador,González Marco,1960-01-01,Spanish,Head Coach,15,,Salvador González Marco was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
90,Claudio,Cesare Prandelli,1960-01-01,Spanish,Head Coach,15,,Claudio Cesare Prandelli was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
