Id,Name,City,Country,Capacity,BuiltDate,LastRenovation,SurfaceType,Address,Latitude,Longitude,HasRoof,ImageUrl,Description,Facilities,CostMillionsEuros,Nickname,Architect
15,Estadio Municipal de Butarque,Leganés,Spain,12454,1998-01-01,2016-01-01,Natural Grass,"Av. de la Mancha, s/n, 28911 Leganés, Madrid, Spain",40.340278,-3.766111,false,,"Municipal stadium serving CD Leganés, renovated for their La Liga campaigns. Known for strong community support despite its modest size.","[""VIP Boxes"", ""Press Room"", ""Youth Training""]",8,Butarque,Municipal Design
16,Estadi Ciutat de València,Valencia,Spain,26354,1969-01-01,2016-01-01,Natural Grass,"C. de San Vicente de Paúl, 44, 46019 Valencia, Spain",39.493889,-0.358611,false,,"Stadium in Valencia dating from 1969, home to Levante UD. Known as 'Ciutat de València' and features traditional Spanish stadium architecture.","[""VIP Areas"", ""Press Center"", ""Training Complex""]",12,Ciutat de València,Javier Goerlich
17,Estadi Mallorca Son Moix,Palma,Spain,23142,1999-01-01,2018-01-01,Natural Grass,"Cam. dels Reis, 8, 07011 Palma, Illes Balears, Spain",39.590556,2.630278,false,,"Modern stadium on the island of Mallorca, opened in 1999. Features contemporary design and excellent facilities, home to RCD Mallorca.","[""VIP Boxes"", ""Press Room"", ""Training Ground"", ""Youth Academy""]",35,Son Moix,Tomàs Forteza
18,Estadio La Rosaleda,Málaga,Spain,30044,1941-01-01,2017-01-01,Natural Grass,"Paseo de Martiricos, 28, 29010 Málaga, Spain",36.732500,-4.425556,false,,"Historic stadium dating from 1941, known as 'La Rosaleda'. Features traditional Spanish architecture and has been home to Málaga CF for decades.","[""VIP Areas"", ""Press Center"", ""Museum"", ""Training Facilities""]",20,La Rosaleda,Teodoro de Anasagasti
19,Estadio El Sadar,Pamplona,Spain,23576,1967-01-01,2019-01-01,Natural Grass,"C. Sadar, s/n, 31006 Pamplona, Navarra, Spain",42.796667,-1.636944,false,,"Historic stadium in Pamplona, home to CA Osasuna since 1967. Known for passionate Navarrese support and traditional Spanish stadium atmosphere.","[""VIP Boxes"", ""Press Room"", ""Training Complex""]",15,El Sadar,Víctor Eusa
20,Estadio Riazor,A Coruña,Spain,32660,1944-01-01,2018-01-01,Natural Grass,"Av. de A Sardiñeira, s/n, 15011 A Coruña, Spain",43.368611,-8.417222,false,,"Historic coastal stadium dating from 1944, overlooking the Atlantic Ocean. Famous for its unique location and passionate Galician support.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Ground""]",25,Riazor,Alejandro de la Sota
21,Estadio de Vallecas,Madrid,Spain,14708,1976-01-01,2018-01-01,Natural Grass,"C. del Payaso Fofó, s/n, 28018 Madrid, Spain",40.391944,-3.659167,false,,"Traditional working-class stadium in Madrid's Vallecas neighborhood. Known for its passionate, left-wing fanbase and authentic football atmosphere.","[""Basic VIP Area"", ""Press Room"", ""Small Training Area""]",6,Campo de Fútbol de Vallecas,Luis Alemany
22,Estadio Benito Villamarín,Sevilla,Spain,60721,1929-01-01,2020-01-01,Natural Grass,"Av. de Heliópolis, s/n, 41012 Sevilla, Spain",37.356389,-5.981667,false,,"Historic stadium dating from 1929, home to Real Betis. Known as 'Villamarín' and famous for its passionate Sevillian support and recent modernization.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Complex"", ""Hotel""]",80,Villamarín,Aníbal González
23,Estadio Santiago Bernabéu,Madrid,Spain,81044,1947-01-01,2023-01-01,Natural Grass,"Av. de Concha Espina, 1, 28036 Madrid, Spain",40.453056,-3.688333,true,,Legendary stadium and home to Real Madrid since 1947. Recently renovated with retractable roof and cutting-edge technology. One of the most famous stadiums in world football.,"[""Museum"", ""VIP Areas"", ""Shopping Center"", ""Restaurant"", ""Hotel"", ""Retractable Roof""]",1200,Santiago Bernabéu,"Manuel Muñoz Monasterio, Luis Alemany"
24,Reale Arena,San Sebastián,Spain,39500,1993-01-01,2019-01-01,Natural Grass,"P.º de Anoeta, 1, 20014 Donostia, Gipuzkoa, Spain",43.301389,-2.035833,false,,"Modern stadium in San Sebastián, opened in 1993. Known as 'Reale Arena' and features contemporary Basque design with excellent facilities.","[""VIP Areas"", ""Press Center"", ""Training Complex"", ""Youth Academy""]",50,Anoeta,Dolores Alonso
25,Estadio José Zorrilla,Valladolid,Spain,26512,1982-01-01,2018-01-01,Natural Grass,"Av. del Mundial 82, s/n, 47014 Valladolid, Spain",41.644167,-4.760556,false,,"Stadium opened in 1982, named after poet José Zorrilla. Features modern facilities and serves as home to Real Valladolid CF.","[""VIP Boxes"", ""Press Room"", ""Training Ground""]",20,Zorrilla,Julio Cano Lasso
26,Estadio Ramón Sánchez-Pizjuán,Sevilla,Spain,43883,1958-01-01,2020-01-01,Natural Grass,"Av. Eduardo Dato, s/n, 41005 Sevilla, Spain",37.383889,-5.970278,false,,"Historic stadium dating from 1958, home to Sevilla FC. Known for its passionate atmosphere and recent renovations, one of Spain's most famous stadiums.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Complex""]",45,Sánchez-Pizjuán,Manuel Muñoz Monasterio
27,Estadio El Molinón,Gijón,Spain,30000,1908-01-01,2017-01-01,Natural Grass,"C. Luis Braille, s/n, 33390 Gijón, Asturias, Spain",43.534444,-5.631944,false,,"Historic stadium dating from 1908, one of Spain's oldest. Known as 'El Molinón' and famous for passionate Asturian support and maritime location.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Ground""]",18,El Molinón,Various (historic)
28,Estadio de Mestalla,Valencia,Spain,49430,1923-01-01,2019-01-01,Natural Grass,"Av. de Suècia, s/n, 46010 Valencia, Spain",39.474722,-0.358611,false,,"Legendary stadium dating from 1923, home to Valencia CF. Known as 'Mestalla' and famous for its incredible atmosphere and rich football history.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Complex"", ""Youth Academy""]",55,Mestalla,Francisco Almenar Quinzá
29,Estadio de la Cerámica,Villarreal,Spain,23500,1923-01-01,2017-01-01,Natural Grass,"C. Blasco Ibáñez, 12, 12540 Villarreal, Castellón, Spain",39.944167,-0.103611,false,,"Stadium dating from 1923, known as 'El Madrigal' or 'Estadio de la Cerámica'. Home to Villarreal CF and famous for its 'Yellow Submarine' atmosphere.","[""VIP Areas"", ""Press Center"", ""Training Complex"", ""Youth Academy""]",30,El Madrigal,Various renovations
